      6720 <= x <=       6750 ; y =  -825.0000 +     0.1333 x ; interpolation
      6750 <= x <=       6780 ; y =   525.0000 +    -0.0667 x ; interpolation
      6780 <= x <=       6810 ; y = -1509.0000 +     0.2333 x ; interpolation
      6810 <= x <=       6840 ; y = -1736.0000 +     0.2667 x ; interpolation
      6840 <= x <=       6870 ; y =  2824.0000 +    -0.4000 x ; interpolation
      6870 <= x <=       6900 ; y = -2443.0000 +     0.3667 x ; interpolation
      6900 <= x <=       6930 ; y =  3997.0000 +    -0.5667 x ; interpolation
      6930 <= x <=       6960 ; y = -2933.0000 +     0.4333 x ; interpolation
      6960 <= x <=       6990 ; y =    83.0000 +     0.0000 x ; interpolation
      6990 <= x <=       7020 ; y =  2879.0000 +    -0.4000 x ; interpolation
      7020 <= x <=       7050 ; y = -3205.0000 +     0.4667 x ; interpolation
      7050 <= x <=       7080 ; y =   555.0000 +    -0.0667 x ; interpolation
      7080 <= x <=       7110 ; y =  -861.0000 +     0.1333 x ; interpolation
      7110 <= x <=       7140 ; y =  -624.0000 +     0.1000 x ; interpolation
      7140 <= x <=       7170 ; y =  1280.0000 +    -0.1667 x ; interpolation
      7170 <= x <=       7200 ; y =  -632.0000 +     0.1000 x ; interpolation
      7200 <= x <=       7230 ; y =  -152.0000 +     0.0333 x ; interpolation
      7230 <= x <=       7260 ; y =  4427.0000 +    -0.6000 x ; interpolation
      7260 <= x <=       7290 ; y =  -171.0000 +     0.0333 x ; interpolation
      7290 <= x <=       7320 ; y = -3330.0000 +     0.4667 x ; interpolation
      7320 <= x <=       7350 ; y =  -402.0000 +     0.0667 x ; interpolation
      7350 <= x <=       7380 ; y =  4253.0000 +    -0.5667 x ; interpolation
      7380 <= x <=       7410 ; y = -3373.0000 +     0.4667 x ; interpolation
      7410 <= x <=       7440 ; y =  3543.0000 +    -0.4667 x ; interpolation
      7440 <= x <=       7470 ; y = -4393.0000 +     0.6000 x ; interpolation
      7470 <= x <=       7500 ; y =  4571.0000 +    -0.6000 x ; interpolation
      7500 <= x <=       7530 ; y =    71.0000 +     0.0000 x ; interpolation
      7530 <= x <=       7560 ; y =    71.0000 +     0.0000 x ; interpolation
      7560 <= x <=       7590 ; y = -3709.0000 +     0.5000 x ; interpolation
      7590 <= x <=       7620 ; y =  -167.0000 +     0.0333 x ; interpolation
      7620 <= x <=       7650 ; y =  1103.0000 +    -0.1333 x ; interpolation
      7650 <= x <=       7680 ; y =  3143.0000 +    -0.4000 x ; interpolation
      7680 <= x <=       7710 ; y =  -185.0000 +     0.0333 x ; interpolation
      7710 <= x <=       7740 ; y = -3783.0000 +     0.5000 x ; interpolation
      7740 <= x <=       7770 ; y =   861.0000 +    -0.1000 x ; interpolation
      7770 <= x <=       7800 ; y =  3451.0000 +    -0.4333 x ; interpolation
      7800 <= x <=       7830 ; y =    71.0000 +     0.0000 x ; interpolation
      7830 <= x <=       7860 ; y = -3844.0000 +     0.5000 x ; interpolation
      7860 <= x <=       7890 ; y =   872.0000 +    -0.1000 x ; interpolation
      7890 <= x <=       7920 ; y =  -706.0000 +     0.1000 x ; interpolation
      7920 <= x <=       7950 ; y =   350.0000 +    -0.0333 x ; interpolation
      7950 <= x <=       7980 ; y =  -710.0000 +     0.1000 x ; interpolation
      7980 <= x <=       8010 ; y =   886.0000 +    -0.1000 x ; interpolation
      8010 <= x <=       8040 ; y =  3556.0000 +    -0.4333 x ; interpolation
      8040 <= x <=       8070 ; y =  -196.0000 +     0.0333 x ; interpolation
      8070 <= x <=       8100 ; y = -3155.0000 +     0.4000 x ; interpolation
      8100 <= x <=       8130 ; y =  -725.0000 +     0.1000 x ; interpolation
      8130 <= x <=       8160 ; y =  4695.0000 +    -0.5667 x ; interpolation
      8160 <= x <=       8190 ; y =  -473.0000 +     0.0667 x ; interpolation
      8190 <= x <=       8220 ; y = -5114.0000 +     0.6333 x ; interpolation
      8220 <= x <=       8250 ; y =  2558.0000 +    -0.3000 x ; interpolation
      8250 <= x <=       8280 ; y =  3108.0000 +    -0.3667 x ; interpolation
      8280 <= x <=       8310 ; y =    72.0000 +     0.0000 x ; interpolation
      8310 <= x <=       8340 ; y = -4914.0000 +     0.6000 x ; interpolation
      8340 <= x <=       8370 ; y =  1758.0000 +    -0.2000 x ; interpolation
      8370 <= x <=       8400 ; y =  3711.0000 +    -0.4333 x ; interpolation
      8400 <= x <=       8430 ; y =  -209.0000 +     0.0333 x ; interpolation
      8430 <= x <=       8460 ; y = -5267.0000 +     0.6333 x ; interpolation
      8460 <= x <=       8490 ; y =   937.0000 +    -0.1000 x ; interpolation
      8490 <= x <=       8520 ; y =  4899.0000 +    -0.5667 x ; interpolation
      8520 <= x <=       8550 ; y =  -497.0000 +     0.0667 x ; interpolation
      8550 <= x <=       8580 ; y = -3632.0000 +     0.4333 x ; interpolation
      8580 <= x <=       8610 ; y =   658.0000 +    -0.0667 x ; interpolation
      8610 <= x <=       8640 ; y =  4676.0000 +    -0.5333 x ; interpolation
      8640 <= x <=       8670 ; y = -1372.0000 +     0.1667 x ; interpolation
      8670 <= x <=       8700 ; y =    73.0000 +     0.0000 x ; interpolation
      8700 <= x <=       8730 ; y =   363.0000 +    -0.0333 x ; interpolation
      8730 <= x <=       8760 ; y = -4584.0000 +     0.5333 x ; interpolation
      8760 <= x <=       8790 ; y =  1548.0000 +    -0.1667 x ; interpolation
      8790 <= x <=       8820 ; y = -1968.0000 +     0.2333 x ; interpolation
      8820 <= x <=       8850 ; y =  1560.0000 +    -0.1667 x ; interpolation
      8850 <= x <=       8880 ; y =  4805.0000 +    -0.5333 x ; interpolation
      8880 <= x <=       8910 ; y = -1115.0000 +     0.1333 x ; interpolation
      8910 <= x <=       8940 ; y = -4085.0000 +     0.4667 x ; interpolation
      8940 <= x <=       8970 ; y =  1577.0000 +    -0.1667 x ; interpolation
      8970 <= x <=       9000 ; y =   381.0000 +    -0.0333 x ; interpolation
      9000 <= x <=       9030 ; y = -1119.0000 +     0.1333 x ; interpolation
      9030 <= x <=       9060 ; y =  4901.0000 +    -0.5333 x ; interpolation
      9060 <= x <=       9090 ; y =  -837.0000 +     0.1000 x ; interpolation
      9090 <= x <=       9120 ; y = -4473.0000 +     0.5000 x ; interpolation
      9120 <= x <=       9150 ; y =  1303.0000 +    -0.1333 x ; interpolation
      9150 <= x <=       9180 ; y =  3438.0000 +    -0.3667 x ; interpolation
      9180 <= x <=       9210 ; y = -3600.0000 +     0.4000 x ; interpolation
      9210 <= x <=       9240 ; y =  4689.0000 +    -0.5000 x ; interpolation
      9240 <= x <=       9270 ; y = -3319.0000 +     0.3667 x ; interpolation
      9270 <= x <=       9300 ; y =  -538.0000 +     0.0667 x ; interpolation
      9300 <= x <=       9330 ; y =  1012.0000 +    -0.1000 x ; interpolation
      9330 <= x <=       9360 ; y = -2409.0000 +     0.2667 x ; interpolation
      9360 <= x <=       9390 ; y =  1335.0000 +    -0.1333 x ; interpolation
      9390 <= x <=       9420 ; y =  4152.0000 +    -0.4333 x ; interpolation
      9420 <= x <=       9450 ; y = -4954.0000 +     0.5333 x ; interpolation
      9450 <= x <=       9480 ; y =  1661.0000 +    -0.1667 x ; interpolation
      9480 <= x <=       9510 ; y =   397.0000 +    -0.0333 x ; interpolation
      9510 <= x <=       9540 ; y =  -554.0000 +     0.0667 x ; interpolation
      9540 <= x <=       9570 ; y =  -554.0000 +     0.0667 x ; interpolation
      9570 <= x <=       9600 ; y = -1511.0000 +     0.1667 x ; interpolation
      9600 <= x <=       9630 ; y =  5849.0000 +    -0.6000 x ; interpolation
      9630 <= x <=       9660 ; y = -2818.0000 +     0.3000 x ; interpolation
      9660 <= x <=       9690 ; y =  1690.0000 +    -0.1667 x ; interpolation
      9690 <= x <=       9720 ; y =  1690.0000 +    -0.1667 x ; interpolation
      9720 <= x <=       9750 ; y = -1226.0000 +     0.1333 x ; interpolation
      9750 <= x <=       9780 ; y =  1049.0000 +    -0.1000 x ; interpolation
      9780 <= x <=       9810 ; y =   723.0000 +    -0.0667 x ; interpolation
      9810 <= x <=       9840 ; y = -5163.0000 +     0.5333 x ; interpolation
      9840 <= x <=       9870 ; y =  4021.0000 +    -0.4000 x ; interpolation
      9870 <= x <=       9900 ; y =  1060.0000 +    -0.1000 x ; interpolation
      9900 <= x <=       9930 ; y =  -920.0000 +     0.1000 x ; interpolation
      9930 <= x <=       9960 ; y = -1582.0000 +     0.1667 x ; interpolation
      9960 <= x <=       9990 ; y =  1738.0000 +    -0.1667 x ; interpolation
      9990 <= x <=      10020 ; y = -4589.0000 +     0.4667 x ; interpolation
     10020 <= x <=      10050 ; y =  5097.0000 +    -0.5000 x ; interpolation
     10050 <= x <=      10080 ; y =   407.0000 +    -0.0333 x ; interpolation
     10080 <= x <=      10110 ; y = -2953.0000 +     0.3000 x ; interpolation
     10110 <= x <=      10140 ; y = -2953.0000 +     0.3000 x ; interpolation
     10140 <= x <=      10170 ; y =  5497.0000 +    -0.5333 x ; interpolation
     10170 <= x <=      10200 ; y = -2978.0000 +     0.3000 x ; interpolation
     10200 <= x <=      10230 ; y =  1102.0000 +    -0.1000 x ; interpolation
     10230 <= x <=      10260 ; y =  -944.0000 +     0.1000 x ; interpolation
     10260 <= x <=      10290 ; y =  2134.0000 +    -0.2000 x ; interpolation
     10290 <= x <=      10320 ; y = -2668.0000 +     0.2667 x ; interpolation
     10320 <= x <=      10350 ; y =  1460.0000 +    -0.1333 x ; interpolation
     10350 <= x <=      10380 ; y =  3185.0000 +    -0.3000 x ; interpolation
     10380 <= x <=      10410 ; y =   763.0000 +    -0.0667 x ; interpolation
     10410 <= x <=      10440 ; y = -5483.0000 +     0.5333 x ; interpolation
     10440 <= x <=      10470 ; y =  4957.0000 +    -0.4667 x ; interpolation
     10470 <= x <=      10500 ; y =  2165.0000 +    -0.2000 x ; interpolation
     10500 <= x <=      10530 ; y = -7985.0000 +     0.7667 x ; interpolation
     10530 <= x <=      10560 ; y =  6406.0000 +    -0.6000 x ; interpolation
     10560 <= x <=      10590 ; y =   422.0000 +    -0.0333 x ; interpolation
     10590 <= x <=      10620 ; y =   422.0000 +    -0.0333 x ; interpolation
     10620 <= x <=      10650 ; y = -4888.0000 +     0.4667 x ; interpolation
     10650 <= x <=      10680 ; y =  -628.0000 +     0.0667 x ; interpolation
     10680 <= x <=      10710 ; y =  -272.0000 +     0.0333 x ; interpolation
     10710 <= x <=      10740 ; y =  4726.0000 +    -0.4333 x ; interpolation
