      5040 <= x <=       5070 ; y =  -260.0000 +     0.0667 x ; interpolation
      5070 <= x <=       5100 ; y =  2951.0000 +    -0.5667 x ; interpolation
      5100 <= x <=       5130 ; y =  -279.0000 +     0.0667 x ; interpolation
      5130 <= x <=       5160 ; y = -2673.0000 +     0.5333 x ; interpolation
      5160 <= x <=       5190 ; y =  1283.0000 +    -0.2333 x ; interpolation
      5190 <= x <=       5220 ; y =  1629.0000 +    -0.3000 x ; interpolation
      5220 <= x <=       5250 ; y =   237.0000 +    -0.0333 x ; interpolation
      5250 <= x <=       5280 ; y = -2563.0000 +     0.5000 x ; interpolation
      5280 <= x <=       5310 ; y =    77.0000 +     0.0000 x ; interpolation
      5310 <= x <=       5340 ; y =  2909.0000 +    -0.5333 x ; interpolation
      5340 <= x <=       5370 ; y =  -295.0000 +     0.0667 x ; interpolation
      5370 <= x <=       5400 ; y = -1906.0000 +     0.3667 x ; interpolation
      5400 <= x <=       5430 ; y =    74.0000 +     0.0000 x ; interpolation
      5430 <= x <=       5460 ; y =  2065.0000 +    -0.3667 x ; interpolation
      5460 <= x <=       5490 ; y =    63.0000 +     0.0000 x ; interpolation
      5490 <= x <=       5520 ; y = -2682.0000 +     0.5000 x ; interpolation
      5520 <= x <=       5550 ; y =   446.0000 +    -0.0667 x ; interpolation
      5550 <= x <=       5580 ; y =  2666.0000 +    -0.4667 x ; interpolation
      5580 <= x <=       5610 ; y =   248.0000 +    -0.0333 x ; interpolation
      5610 <= x <=       5640 ; y = -2744.0000 +     0.5000 x ; interpolation
      5640 <= x <=       5670 ; y =    76.0000 +     0.0000 x ; interpolation
      5670 <= x <=       5700 ; y =  2533.0000 +    -0.4333 x ; interpolation
      5700 <= x <=       5730 ; y =  -317.0000 +     0.0667 x ; interpolation
      5730 <= x <=       5760 ; y = -2227.0000 +     0.4000 x ; interpolation
      5760 <= x <=       5790 ; y =   269.0000 +    -0.0333 x ; interpolation
      5790 <= x <=       5820 ; y =  2585.0000 +    -0.4333 x ; interpolation
      5820 <= x <=       5850 ; y =    63.0000 +     0.0000 x ; interpolation
      5850 <= x <=       5880 ; y = -3447.0000 +     0.6000 x ; interpolation
      5880 <= x <=       5910 ; y =   865.0000 +    -0.1333 x ; interpolation
      5910 <= x <=       5940 ; y =  3426.0000 +    -0.5667 x ; interpolation
      5940 <= x <=       5970 ; y =  -336.0000 +     0.0667 x ; interpolation
      5970 <= x <=       6000 ; y = -3719.0000 +     0.6333 x ; interpolation
      6000 <= x <=       6030 ; y =  1681.0000 +    -0.2667 x ; interpolation
      6030 <= x <=       6060 ; y =  2083.0000 +    -0.3333 x ; interpolation
      6060 <= x <=       6090 ; y =  -341.0000 +     0.0667 x ; interpolation
      6090 <= x <=       6120 ; y = -2980.0000 +     0.5000 x ; interpolation
      6120 <= x <=       6150 ; y =  1304.0000 +    -0.2000 x ; interpolation
      6150 <= x <=       6180 ; y =  3149.0000 +    -0.5000 x ; interpolation
      6180 <= x <=       6210 ; y = -1177.0000 +     0.2000 x ; interpolation
      6210 <= x <=       6240 ; y = -2833.0000 +     0.4667 x ; interpolation
      6240 <= x <=       6270 ; y =   703.0000 +    -0.1000 x ; interpolation
      6270 <= x <=       6300 ; y =  2793.0000 +    -0.4333 x ; interpolation
      6300 <= x <=       6330 ; y =  -357.0000 +     0.0667 x ; interpolation
      6330 <= x <=       6360 ; y = -2889.0000 +     0.4667 x ; interpolation
      6360 <= x <=       6390 ; y =  1563.0000 +    -0.2333 x ; interpolation
      6390 <= x <=       6420 ; y =  2415.0000 +    -0.3667 x ; interpolation
      6420 <= x <=       6450 ; y =  -795.0000 +     0.1333 x ; interpolation
      6450 <= x <=       6480 ; y = -2945.0000 +     0.4667 x ; interpolation
      6480 <= x <=       6510 ; y =  1159.0000 +    -0.1667 x ; interpolation
      6510 <= x <=       6540 ; y =  -360.0000 +     0.0667 x ; interpolation
      6540 <= x <=       6570 ; y =   294.0000 +    -0.0333 x ; interpolation
      6570 <= x <=       6600 ; y =  2703.0000 +    -0.4000 x ; interpolation
      6600 <= x <=       6630 ; y =   503.0000 +    -0.0667 x ; interpolation
      6630 <= x <=       6660 ; y = -3696.0000 +     0.5667 x ; interpolation
      6660 <= x <=       6690 ; y =   744.0000 +    -0.1000 x ; interpolation
      6690 <= x <=       6720 ; y =  2751.0000 +    -0.4000 x ; interpolation
      6720 <= x <=       6750 ; y =  -385.0000 +     0.0667 x ; interpolation
      6750 <= x <=       6780 ; y = -3085.0000 +     0.4667 x ; interpolation
      6780 <= x <=       6810 ; y =  1209.0000 +    -0.1667 x ; interpolation
      6810 <= x <=       6840 ; y =  3252.0000 +    -0.4667 x ; interpolation
      6840 <= x <=       6870 ; y = -1080.0000 +     0.1667 x ; interpolation
      6870 <= x <=       6900 ; y = -1996.0000 +     0.3000 x ; interpolation
      6900 <= x <=       6930 ; y =   994.0000 +    -0.1333 x ; interpolation
      6930 <= x <=       6960 ; y =  3073.0000 +    -0.4333 x ; interpolation
      6960 <= x <=       6990 ; y =  -871.0000 +     0.1333 x ; interpolation
      6990 <= x <=       7020 ; y = -2269.0000 +     0.3333 x ; interpolation
      7020 <= x <=       7050 ; y =  -631.0000 +     0.1000 x ; interpolation
      7050 <= x <=       7080 ; y =  3364.0000 +    -0.4667 x ; interpolation
      7080 <= x <=       7110 ; y = -1592.0000 +     0.2333 x ; interpolation
      7110 <= x <=       7140 ; y = -2777.0000 +     0.4000 x ; interpolation
      7140 <= x <=       7170 ; y =  1269.0000 +    -0.1667 x ; interpolation
      7170 <= x <=       7200 ; y =  3420.0000 +    -0.4667 x ; interpolation
